GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC05,HC02_VC05,HC03_VC05,HC04_VC05,HC01_VC35,HC02_VC35,HC03_VC35,HC04_VC35,HC01_VC38,HC02_VC38,HC03_VC38,HC04_VC38,HC01_VC41,HC02_VC41,HC03_VC41,HC04_VC41,HC01_VC44,HC02_VC44,HC03_VC44,HC04_VC44,HC01_VC53,HC02_VC53,HC03_VC53,HC04_VC53,HC01_VC92,HC02_VC92,HC03_VC92,HC04_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98,HC01_VC99,HC02_VC99,HC03_VC99,HC04_VC99,HC01_VC100,HC02_VC100,HC03_VC100,HC04_VC100,HC01_VC101,HC02_VC101,HC03_VC101,HC04_VC101,HC01_VC102,HC02_VC102,HC03_VC102,HC04_VC102,HC01_VC103,HC02_VC103,HC03_VC103,HC04_VC103,HC01_VC104,HC02_VC104,HC03_VC104,HC04_VC104
0500000US48019,48019,"Bandera County, Texas",21316,*****,21316,(X),10746,153,50.4,0.7,17608,52,17608,(X),96.3,1.7,(X),(X),5433,46,5433,(X),100.4,5.3,(X),(X),20313,371,95.3,1.7,21316,*****,21316,(X),3836,*****,18.0,*****,3177,284,14.9,1.3,17480,*****,82.0,*****,16788,31,78.8,0.1,213,179,1.0,0.8,48,54,0.2,0.3,47,54,0.2,0.3,0,25,0.0,0.2,16,27,0.1,0.1
0500000US48021,48021,"Bastrop County, Texas",80306,*****,80306,(X),39461,159,49.1,0.2,59709,*****,59709,(X),104.1,0.4,(X),(X),11115,129,11115,(X),86.8,2.6,(X),(X),78805,431,98.1,0.5,80306,*****,80306,(X),28883,*****,36.0,*****,25795,941,32.1,1.2,51423,*****,64.0,*****,43147,278,53.7,0.3,6219,84,7.7,0.1,353,116,0.4,0.1,686,73,0.9,0.1,0,31,0.0,0.1,368,264,0.5,0.3
0500000US48023,48023,"Baylor County, Texas",3602,*****,3602,(X),1862,97,51.7,2.7,2820,93,2820,(X),85.8,8.4,(X),(X),861,81,861,(X),76.1,11.2,(X),(X),3489,71,96.9,2.0,3602,*****,3602,(X),365,142,10.1,4.0,330,140,9.2,3.9,3237,142,89.9,4.0,3020,151,83.8,4.2,116,84,3.2,2.3,0,13,0.0,1.1,0,13,0.0,1.1,0,13,0.0,1.1,0,13,0.0,1.1
0500000US48025,48025,"Bee County, Texas",32729,*****,32729,(X),12846,194,39.2,0.6,25707,75,25707,(X),173.6,4.0,(X),(X),3843,106,3843,(X),82.2,2.6,(X),(X),32300,185,98.7,0.6,32729,*****,32729,(X),19058,*****,58.2,*****,17998,373,55.0,1.1,13671,*****,41.8,*****,10555,28,32.2,0.1,2697,47,8.2,0.1,151,2,0.5,0.1,155,75,0.5,0.2,3,6,0.0,0.1,27,37,0.1,0.1
0500000US48027,48027,"Bell County, Texas",336506,*****,336506,(X),168359,135,50.0,0.1,242982,*****,242982,(X),98.8,0.1,(X),(X),33740,62,33740,(X),79.1,0.3,(X),(X),319270,1286,94.9,0.4,336506,*****,336506,(X),80846,*****,24.0,*****,56875,2048,16.9,0.6,255660,*****,76.0,*****,158932,108,47.2,0.1,70588,1029,21.0,0.3,977,237,0.3,0.1,9378,587,2.8,0.2,2348,93,0.7,0.1,325,151,0.1,0.1
0500000US48029,48029,"Bexar County, Texas",1892004,*****,1892004,(X),959427,198,50.7,0.1,1398786,143,1398786,(X),95.0,0.1,(X),(X),215795,72,215795,(X),75.6,0.1,(X),(X),1832527,2797,96.9,0.1,1892004,*****,1892004,(X),1130949,*****,59.8,*****,1009736,4675,53.4,0.2,761055,*****,40.2,*****,537451,631,28.4,0.1,133212,1257,7.0,0.1,2866,452,0.2,0.1,49745,1103,2.6,0.1,1772,285,0.1,0.1,2844,569,0.2,0.1
0500000US48031,48031,"Blanco County, Texas",11089,*****,11089,(X),5513,65,49.7,0.6,9022,4,9022,(X),97.2,2.5,(X),(X),2625,136,2625,(X),93.3,5.1,(X),(X),10712,86,96.6,0.8,11089,*****,11089,(X),2119,*****,19.1,*****,1768,172,15.9,1.6,8970,*****,80.9,*****,8601,13,77.6,0.1,1,2,0.0,0.1,0,21,0.0,0.4,64,73,0.6,0.7,0,21,0.0,0.4,0,21,0.0,0.4
0500000US48033,48033,"Borden County, Texas",602,105,602,(X),293,52,48.7,5.0,435,63,435,(X),93.3,17.0,(X),(X),142,33,142,(X),89.3,23.5,(X),(X),602,105,100.0,6.4,602,105,602,(X),46,28,7.6,4.7,46,28,7.6,4.7,556,105,92.4,4.7,556,105,92.4,4.7,0,13,0.0,6.4,0,13,0.0,6.4,0,13,0.0,6.4,0,13,0.0,6.4,0,13,0.0,6.4
0500000US48035,48035,"Bosque County, Texas",17955,*****,17955,(X),9124,49,50.8,0.3,14053,17,14053,(X),94.7,1.2,(X),(X),4324,78,4324,(X),91.4,3.2,(X),(X),17583,93,97.9,0.5,17955,*****,17955,(X),3154,*****,17.6,*****,2988,92,16.6,0.5,14801,*****,82.4,*****,14127,7,78.7,0.1,246,82,1.4,0.5,59,45,0.3,0.2,57,38,0.3,0.2,0,21,0.0,0.2,0,21,0.0,0.2
0500000US48037,48037,"Bowie County, Texas",93635,*****,93635,(X),46462,255,49.6,0.3,71374,*****,71374,(X),100.6,0.8,(X),(X),14813,135,14813,(X),76.0,2.2,(X),(X),91069,583,97.3,0.6,93635,*****,93635,(X),6932,*****,7.4,*****,5687,436,6.1,0.5,86703,*****,92.6,*****,60361,8,64.5,0.1,22371,475,23.9,0.5,792,89,0.8,0.1,892,142,1.0,0.2,16,24,0.0,0.1,30,34,0.0,0.1
