"","fip","cnty","lmi_burdenx100","pcnt_hisp_ucb","pcnt_blk_ucb","pcnt_rural_chr","pcnt_sr_ucb","pcnt_college_chr","pcnt_unemp_bls","pcnt_pov_usda","pcnt_income_saipe","pcnt_own_ucb","pcnt_lw_access_usda","pcnt_obese_usda","pcnt_food_insec_chr","pcnt_uninsured_chr","house_str_age"
"190",48379,"Rains",9,8.7,1.5,93.2,23.49279744,48,3.6,14.4,73.3220711208717,77.2213247,NA,29.7,16,24,39
"191",48381,"Randall",5,20.2,2.8,14.4,13.88642074,73,3.1,8.5,106.557986316412,69.8379413,12.25916336,26.6,14,15,56
"192",48383,"Reagan",7,70.1,0.7,13.3,11.05756359,43,3.9,8.8,98.2650561702847,70.2818104,6.366387954,27.7,10,26,33
"193",48385,"Real",9,19.8,0.2,100,34.09767719,52,5.5,19.4,61.0625897457556,76.7586821,99.99999958,27.6,17,28,46
"194",48387,"Red River",14,7.3,17.6,75.7,23.2656035,50,5.3,20.2,60.212855815525,75.8144883,46.38197293,30.7,21,24,47
"195",48389,"Reeves",12,75,4.5,14.5,12.81860591,38,3.3,19.3,68.7456710870851,71.6697936,22.05041284,28.3,7,25,32
"196",48391,"Refugio",9,49.7,5,60.7,21.06129165,55,5.3,15.4,72.4689585269026,72.2717149,19.81038417,28.4,13,20,42
"197",48393,"Roberts",4,7.4,0,100,20.69741282,69,3.3,6.7,114.347495565504,74.2331288,90.76309168,26.6,14,11,35
"198",48395,"Robertson",11,20.2,19.7,73.9,18.10246906,49,5.2,16.6,74.9303150603936,74.4839632,32.26260703,29.8,18,23,33
"199",48397,"Rockwall",7,17.1,6,16,11.69730351,75,3.5,6,166.301207872287,80.4017784,20.21905787,25.3,13,15,43
"200",48399,"Runnels",12,33.8,1.3,40.8,20.3974284,45,4.2,18.5,70.6647520905482,71.7799524,27.41564257,26.8,14,24,36
"201",48401,"Rusk",8,16.1,17,65.9,15.86391581,47,5.2,16.6,84.2503589830222,76.0593927,25.70505283,30.8,19,25,34
"202",48403,"Sabine",13,4,7.6,100,29.90699012,40,8.4,19.7,63.8060647014106,87.9821569,15.88929898,27.8,23,22,36
"203",48405,"San Augustine",17,6.9,20.8,100,24.47935261,43,7.3,24.3,66.1086240391925,79.2317302,4.50249492,32.3,26,22,31
"204",48407,"San Jacinto",11,12.5,10.7,100,20.34553142,30,5.7,18.1,75.5249598783681,82.9827916,8.144462521,28.1,19,25,55
"205",48409,"San Patricio",7,56.8,1.5,19.7,14.10860365,50,7.3,15.5,85.7369710279584,66.8760217,20.97179282,33,11,23,61
"206",48411,"San Saba",11,29.7,2.8,49.4,21.94496667,42,3.3,18.9,72.8304755469212,67.35363,30.5329736,27.4,15,31,59
"207",48413,"Schleicher",17,51.8,0.3,100,16.11146701,52,3.7,13.4,77.4068755807078,76.8602541,10.53183251,27.5,10,26,37
"208",48415,"Scurry",5,39.7,4.5,31.7,14.63738038,51,4.7,12.7,87.4600895345891,74.1178486,29.07575419,26.2,12,21,34
"209",48417,"Shackelford",10,11.7,0.2,100,18.10035842,60,3,13.1,103.311090463722,78.9180589,14.38465464,28.3,17,23,29
"210",48419,"Shelby",13,17.8,18.8,79.4,16.45840632,42,5.3,19.8,67.1424951431709,71.3820785,13.9966767,31.2,21,30,57
"211",48421,"Sherman",5,43.3,0.3,100,13.98761004,44,3.6,12.8,83.3668384154067,80.9031044,24.74861788,27.5,10,31,39
"212",48423,"Smith",8,19,17.4,31.6,15.59045695,61,4.1,16,91.2982515415153,65.9053226,16.68057055,29.6,19,23,50
"213",48425,"Somervell",6,19.1,0.6,100,18.24277457,50,5.1,12.1,106.095109384239,73.9332096,0,27.6,17,21,52
"214",48427,"Starr",16,99.2,0,23.7,11.07379376,34,11.9,30.9,47.9381704535856,74.3627451,44.95385477,29.6,13,40,38
"215",48429,"Stephens",9,23.2,2.2,39.4,18.99626268,45,5.3,18.2,70.9130838753273,78.9348408,22.78369367,27,17,27,37
"216",48431,"Sterling",6,40.8,0.3,100,15.97892888,58,3.3,11.6,94.0788917982938,85.0649351,100.0000004,27.4,12,21,37
"217",48433,"Stonewall",14,22.7,3.5,100,26.10701107,51,3.4,14.5,73.8271813497762,75.9825328,14.86655026,27,16,21,52
"218",48435,"Sutton",7,59.4,0.1,18.8,16.82074987,54,5.5,12.5,97.9575977700819,68.2136046,10.87039188,26.6,10,24,43
"219",48437,"Swisher",11,43.1,5.7,37.6,17.63691818,41,4.2,21.6,69.7085902525551,69.7156034,18.35950602,27.7,15,29,40
"220",48439,"Tarrant",5,28.2,15.6,1.3,10.49007524,63,3.9,13.1,109.842047470226,60.7101393,25.63262158,29.1,17,21,45
"221",48441,"Taylor",10,23.8,7.4,16,13.94020876,62,3.9,14.8,85.0375876340907,58.9608236,28.00027507,30.8,18,20,49
"222",48443,"Terrell",18,56.3,3.2,100,31.20665742,53,4.8,16.7,65.9396908522679,76.6763848,99.99999981,26.8,10,24,35
"223",48445,"Terry",9,53.8,4.6,24.7,14.94315955,38,5.5,22.5,69.0919841202804,69.8696282,37.17749527,29.2,11,30,28
"224",48447,"Throckmorton",10,15.8,0.1,100,26.34652823,67,4.3,13.6,64.4682827941549,73.0337079,100.0000002,26.8,16,23,56
"225",48449,"Titus",9,42.1,9.1,50.6,13.3847661,45,5.7,20.1,79.5624630458654,67.1007026,11.84102426,30.9,16,31,32
"226",48451,"Tom Green",5,38.8,4,15.6,14.60917318,59,4,15.6,83.5577329166315,63.0649242,40.58947902,27.6,14,20,41
"227",48453,"Travis",4,33.9,7.9,5.5,8.868385088,73,3.1,13.2,122.958020103049,52.3336484,26.18894895,20.3,15,18,31
"228",48455,"Trinity",11,9.3,9.5,77.2,26.14460327,48,5.3,19.5,58.6890784694653,77.7890125,3.040562687,27.4,19,25,32
"229",48457,"Tyler",16,7.3,10.8,78.1,21.09433259,38,7.4,19.9,73.3068671340485,84.286105,53.58062009,31,20,20,45
"230",48459,"Upshur",8,8.1,8.9,79.3,17.19745223,55,5.3,15.5,80.2719824309486,76.9717659,11.84758936,29.6,19,22,34
"231",48461,"Upton",7,49.7,6.7,100,13.48251748,45,3.7,13.5,95.359405355182,72.9357798,33.41282183,26.9,12,24,42
"232",48463,"Uvalde",13,70.9,0.1,31.4,16.40199889,56,4.8,20.7,66.9144353408227,72.8664193,43.4342543,30,9,28,45
"233",48465,"Val Verde",9,81.4,1.1,10.2,13.90476968,52,5,22.1,70.0076019934116,63.1509645,40.1241303,30,9,29,41
"234",48467,"Van Zandt",11,10.3,2.6,75,19.917175,57,3.9,15.9,84.9869076780133,77.1210086,9.657455162,30.2,17,26,42
"235",48469,"Victoria",6,46,5.8,26.6,14.96645469,55,4.9,13.6,88.1172396317257,65.5526364,28.07669917,34.3,13,23,45
"236",48471,"Walker",9,17.8,22.9,45.6,11.96447231,45,5.1,22.7,71.4654953965707,52.7895182,33.64850574,29.7,23,20,39
"237",48473,"Waller",8,29.4,24.9,61.6,11.39277089,49,5.3,16,93.2916631472253,68.6079739,15.02890819,33.6,19,28,53
"238",48475,"Ward",9,52.2,4.8,27.9,14.03722387,43,4.2,12.8,89.9434073823803,69.9797673,10.73516396,28.5,12,24,39
"239",48477,"Washington",8,15.5,17,53.5,20.32191998,56,4.5,14.5,86.6221809274432,77.001229,9.516921465,29.6,18,20,52
"240",48479,"Webb",16,95.5,0.3,2.6,8.774812331,45,4.5,30.5,70.9164625390658,63.003081,22.474795,31.3,8,38,41
"241",48481,"Wharton",11,40.3,13.8,49.9,15.93772629,51,4.7,17.2,78.0369963679365,67.4527063,15.58246348,31.9,15,26,39
"242",48483,"Wheeler",5,26.5,2.7,100,18.18181818,54,3.9,12.9,76.6213362615086,63.8828159,11.46669442,27.8,16,24,69
"243",48485,"Wichita",7,18.5,9.9,10.7,13.94314681,56,3.9,18.9,75.3323760452741,61.3233597,36.98982944,31.1,19,19,43
"244",48487,"Wilbarger",9,28.6,8,21.9,16.62812211,55,4.8,16.5,68.1696089196723,64.8496605,27.29621009,28,17,23,46
"245",48489,"Willacy",20,88,0.7,34.6,13.08667979,31,11.7,35.4,51.3421741701157,77.8281332,13.78729352,27.6,14,30,46
"246",48491,"Williamson",3,24.1,6,12,11.19959552,75,3.4,6.6,138.74651575302,68.9263809,33.69662526,31.1,13,13,63
"247",48493,"Wilson",7,39.2,1.3,85.9,14.53871412,58,3.7,9.4,119.653686966805,83.5099968,4.373064644,31.4,10,18,22
"248",48495,"Winkler",10,59.4,2.3,18.1,11.22540826,49,5.3,13.3,87.7861305853535,78.2091918,0.882119192,27.7,11,23,45
"249",48497,"Wise",7,18.8,1.2,72.1,14.59041536,52,4.4,12.1,102.500211166484,76.7230649,5.951672799,30.9,15,20,54
"250",48499,"Wood",12,9.6,5.5,74.2,26.85212975,50,4.8,16.6,84.0256778444125,80.4180623,7.678459758,30.1,17,23,51
"251",48501,"Yoakum",7,65,0,37.3,11.13076288,51,3.6,11.1,98.5944758847876,77.4509804,19.82933069,26.7,7,28,44
"252",48503,"Young",7,18.1,1.5,33.6,19.72365958,54,3.9,15,75.8662049159557,78.2621002,33.11051959,27.1,16,25,51
"253",48505,"Zapata",20,94.1,0,23.5,12.7089837,41,7.7,30.9,54.3491848973731,72.2907786,43.2706604,26.3,11,40,48
"254",48507,"Zavala",17,93.6,0.5,38,13.28176432,36,12.2,32,48.765943069516,69.3438914,31.70358023,27.4,14,27,37
