GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0500000US48171,48171,"Gillespie County, Texas",10795,348,8234,392,2561,324
0500000US48173,48173,"Glasscock County, Texas",475,52,341,53,134,52
0500000US48175,48175,"Goliad County, Texas",2755,187,2256,168,499,141
0500000US48177,48177,"Gonzales County, Texas",7018,251,4822,251,2196,221
0500000US48179,48179,"Gray County, Texas",7971,261,5995,284,1976,256
0500000US48181,48181,"Grayson County, Texas",47550,556,31863,755,15687,775
0500000US48183,48183,"Gregg County, Texas",45615,667,26844,685,18771,815
0500000US48185,48185,"Grimes County, Texas",8980,336,6983,338,1997,294
0500000US48187,48187,"Guadalupe County, Texas",51990,456,39219,834,12771,728
0500000US48189,48189,"Hale County, Texas",11217,276,6774,274,4443,318
0500000US48191,48191,"Hall County, Texas",1244,81,779,67,465,95
0500000US48193,48193,"Hamilton County, Texas",3157,197,2389,198,768,147
0500000US48195,48195,"Hansford County, Texas",1924,125,1404,129,520,139
0500000US48197,48197,"Hardeman County, Texas",1533,101,1150,107,383,85
0500000US48199,48199,"Hardin County, Texas",20739,451,16757,551,3982,425
0500000US48201,48201,"Harris County, Texas",1562813,3976,855629,5250,707184,4408
0500000US48203,48203,"Harrison County, Texas",23363,462,17328,465,6035,552
0500000US48205,48205,"Hartley County, Texas",1754,78,1067,129,687,126
0500000US48207,48207,"Haskell County, Texas",2128,216,1655,162,473,135
0500000US48209,48209,"Hays County, Texas",68045,695,42242,835,25803,928
0500000US48211,48211,"Hemphill County, Texas",1358,87,929,97,429,82
0500000US48213,48213,"Henderson County, Texas",30459,569,22968,553,7491,463
0500000US48215,48215,"Hidalgo County, Texas",232523,1610,156949,1973,75574,1633
0500000US48217,48217,"Hill County, Texas",12674,312,9350,282,3324,261
0500000US48219,48219,"Hockley County, Texas",8065,225,5533,223,2532,268
0500000US48221,48221,"Hood County, Texas",21527,460,16373,505,5154,443
0500000US48223,48223,"Hopkins County, Texas",13287,270,9209,295,4078,301
0500000US48225,48225,"Houston County, Texas",8328,239,5721,249,2607,248
0500000US48227,48227,"Howard County, Texas",11032,348,7508,316,3524,388
0500000US48229,48229,"Hudspeth County, Texas",890,109,665,93,225,64
0500000US48231,48231,"Hunt County, Texas",31781,489,22146,521,9635,584
0500000US48233,48233,"Hutchinson County, Texas",7799,294,6202,289,1597,226
0500000US48235,48235,"Irion County, Texas",648,64,514,61,134,49
0500000US48237,48237,"Jack County, Texas",3075,184,2524,186,551,133
0500000US48239,48239,"Jackson County, Texas",5232,250,3650,235,1582,221
0500000US48241,48241,"Jasper County, Texas",11974,446,8997,452,2977,360
0500000US48243,48243,"Jeff Davis County, Texas",1007,115,809,111,198,75
0500000US48245,48245,"Jefferson County, Texas",94020,984,58181,1167,35839,889
0500000US48247,48247,"Jim Hogg County, Texas",1587,188,1205,154,382,105
0500000US48249,48249,"Jim Wells County, Texas",13614,361,9447,403,4167,414
0500000US48251,48251,"Johnson County, Texas",55467,614,40981,922,14486,854
