"","County.GEOID","County.Name","State","LMI.Energy.Burden","Non.LMI.Energy.Burden","lmi_burdened","notlmi_burdened"
"117",48233,"Hutchinson","TX",0.07,0.04,0,0
"118",48235,"Irion","TX",0.07,0.06,0,0
"119",48237,"Jack","TX",0.08,0.04,1,0
"120",48239,"Jackson","TX",0.09,0.05,1,0
"121",48241,"Jasper","TX",0.11,0.05,1,0
"122",48243,"Jeff Davis","TX",0.06,0.06,0,0
"123",48245,"Jefferson","TX",0.1,0.04,1,0
"124",48247,"Jim Hogg","TX",0.13,0.04,1,0
"125",48249,"Jim Wells","TX",0.15,0.06,1,0
"126",48251,"Johnson","TX",0.05,0.03,0,0
"127",48253,"Jones","TX",0.1,0.05,1,0
"128",48255,"Karnes","TX",0.11,0.04,1,0
"129",48257,"Kaufman","TX",0.08,0.04,1,0
"130",48259,"Kendall","TX",0.04,0.02,0,0
"131",48261,"Kenedy","TX",0.09,0.04,1,0
"132",48263,"Kent","TX",0.09,0.06,1,0
"133",48265,"Kerr","TX",0.06,0.04,0,0
"134",48267,"Kimble","TX",0.09,0.05,1,0
"135",48269,"King","TX",0.06,0.02,0,0
"136",48271,"Kinney","TX",0.1,0.05,1,0
"137",48273,"Kleberg","TX",0.15,0.05,1,0
"138",48275,"Knox","TX",0.12,0.06,1,0
"139",48277,"Lamar","TX",0.13,0.06,1,0
"140",48279,"Lamb","TX",0.09,0.04,1,0
"141",48281,"Lampasas","TX",0.09,0.05,1,0
"142",48283,"La Salle","TX",0.12,0.04,1,0
"143",48285,"Lavaca","TX",0.07,0.05,0,0
"144",48287,"Lee","TX",0.08,0.04,1,0
"145",48289,"Leon","TX",0.08,0.05,1,0
"146",48291,"Liberty","TX",0.07,0.03,0,0
"147",48293,"Limestone","TX",0.1,0.04,1,0
"148",48295,"Lipscomb","TX",0.05,0.03,0,0
"149",48297,"Live Oak","TX",0.07,0.05,0,0
"150",48299,"Llano","TX",0.06,0.03,0,0
"151",48301,"Loving","TX",0.16,0.03,1,0
"152",48303,"Lubbock","TX",0.08,0.04,1,0
"153",48305,"Lynn","TX",0.12,0.05,1,0
"154",48307,"McCulloch","TX",0.09,0.06,1,0
"155",48309,"McLennan","TX",0.09,0.04,1,0
"156",48311,"McMullen","TX",0.14,0.07,1,0
"157",48313,"Madison","TX",0.08,0.04,1,0
"158",48315,"Marion","TX",0.14,0.04,1,0
"159",48317,"Martin","TX",0.09,0.05,1,0
"160",48319,"Mason","TX",0.08,0.03,1,0
"161",48321,"Matagorda","TX",0.14,0.05,1,0
"162",48323,"Maverick","TX",0.14,0.04,1,0
"163",48325,"Medina","TX",0.07,0.04,0,0
"164",48327,"Menard","TX",0.08,0.04,1,0
"165",48329,"Midland","TX",0.03,0.03,0,0
"166",48331,"Milam","TX",0.1,0.05,1,0
"167",48333,"Mills","TX",0.1,0.04,1,0
"168",48335,"Mitchell","TX",0.06,0.06,0,0
"169",48337,"Montague","TX",0.09,0.05,1,0
"170",48339,"Montgomery","TX",0.06,0.04,0,0
"171",48341,"Moore","TX",0.1,0.08,1,1
"172",48343,"Morris","TX",0.15,0.06,1,0
"173",48345,"Motley","TX",0.1,0.04,1,0
"174",48347,"Nacogdoches","TX",0.14,0.05,1,0
"175",48349,"Navarro","TX",0.11,0.05,1,0
"176",48351,"Newton","TX",0.09,0.05,1,0
"177",48353,"Nolan","TX",0.1,0.04,1,0
"178",48355,"Nueces","TX",0.07,0.04,0,0
"179",48357,"Ochiltree","TX",0.07,0.03,0,0
"180",48359,"Oldham","TX",0.08,0.03,1,0
"181",48361,"Orange","TX",0.1,0.06,1,0
"182",48363,"Palo Pinto","TX",0.13,0.05,1,0
"183",48365,"Panola","TX",0.09,0.04,1,0
"184",48367,"Parker","TX",0.05,0.04,0,0
"185",48369,"Parmer","TX",0.08,0.05,1,0
"186",48371,"Pecos","TX",0.06,0.03,0,0
"187",48373,"Polk","TX",0.12,0.06,1,0
"188",48375,"Potter","TX",0.06,0.02,0,0
"189",48377,"Presidio","TX",0.1,0.04,1,0
"190",48379,"Rains","TX",0.09,0.05,1,0
"191",48381,"Randall","TX",0.05,0.04,0,0
"192",48383,"Reagan","TX",0.07,0.05,0,0
"193",48385,"Real","TX",0.09,0.05,1,0
"194",48387,"Red River","TX",0.14,0.04,1,0
"195",48389,"Reeves","TX",0.12,0.05,1,0
"196",48391,"Refugio","TX",0.09,0.06,1,0
"197",48393,"Roberts","TX",0.04,0.03,0,0
"198",48395,"Robertson","TX",0.11,0.05,1,0
"199",48397,"Rockwall","TX",0.07,0.07,0,0
"200",48399,"Runnels","TX",0.12,0.06,1,0
"201",48401,"Rusk","TX",0.08,0.04,1,0
"202",48403,"Sabine","TX",0.13,0.04,1,0
"203",48405,"San Augustine","TX",0.17,0.03,1,0
"204",48407,"San Jacinto","TX",0.11,0.04,1,0
"205",48409,"San Patricio","TX",0.07,0.04,0,0
"206",48411,"San Saba","TX",0.11,0.05,1,0
"207",48413,"Schleicher","TX",0.17,0.05,1,0
"208",48415,"Scurry","TX",0.05,0.05,0,0
"209",48417,"Shackelford","TX",0.1,0.04,1,0
"210",48419,"Shelby","TX",0.13,0.05,1,0
"211",48421,"Sherman","TX",0.05,0.05,0,0
"212",48423,"Smith","TX",0.08,0.04,1,0
"213",48425,"Somervell","TX",0.06,0.03,0,0
"214",48427,"Starr","TX",0.16,0.03,1,0
"215",48429,"Stephens","TX",0.09,0.05,1,0
"216",48431,"Sterling","TX",0.06,0.06,0,0
"217",48433,"Stonewall","TX",0.14,0.06,1,0
"218",48435,"Sutton","TX",0.07,0.05,0,0
"219",48437,"Swisher","TX",0.11,0.04,1,0
"220",48439,"Tarrant","TX",0.05,0.03,0,0
"221",48441,"Taylor","TX",0.1,0.05,1,0
"222",48443,"Terrell","TX",0.18,0.04,1,0
"223",48445,"Terry","TX",0.09,0.05,1,0
"224",48447,"Throckmorton","TX",0.1,0.05,1,0
"225",48449,"Titus","TX",0.09,0.06,1,0
"226",48451,"Tom Green","TX",0.05,0.03,0,0
"227",48453,"Travis","TX",0.04,0.02,0,0
"228",48455,"Trinity","TX",0.11,0.04,1,0
"229",48457,"Tyler","TX",0.16,0.07,1,0
"230",48459,"Upshur","TX",0.08,0.04,1,0
"231",48461,"Upton","TX",0.07,0.02,0,0
"232",48463,"Uvalde","TX",0.13,0.05,1,0
"233",48465,"Val Verde","TX",0.09,0.04,1,0
"234",48467,"Van Zandt","TX",0.11,0.05,1,0
"235",48469,"Victoria","TX",0.06,0.04,0,0
"236",48471,"Walker","TX",0.09,0.03,1,0
"237",48473,"Waller","TX",0.08,0.04,1,0
"238",48475,"Ward","TX",0.09,0.04,1,0
"239",48477,"Washington","TX",0.08,0.05,1,0
"240",48479,"Webb","TX",0.16,0.04,1,0
"241",48481,"Wharton","TX",0.11,0.05,1,0
"242",48483,"Wheeler","TX",0.05,0.04,0,0
"243",48485,"Wichita","TX",0.07,0.04,0,0
"244",48487,"Wilbarger","TX",0.09,0.04,1,0
"245",48489,"Willacy","TX",0.2,0.04,1,0
"246",48491,"Williamson","TX",0.03,0.03,0,0
"247",48493,"Wilson","TX",0.07,0.05,0,0
"248",48495,"Winkler","TX",0.1,0.05,1,0
"249",48497,"Wise","TX",0.07,0.05,0,0
"250",48499,"Wood","TX",0.12,0.06,1,0
"251",48501,"Yoakum","TX",0.07,0.04,0,0
"252",48503,"Young","TX",0.07,0.04,0,0
"253",48505,"Zapata","TX",0.2,0.04,1,0
"254",48507,"Zavala","TX",0.17,0.03,1,0
