"","County.GEOID","County.Name","State","LMI.Energy.Burden","Non.LMI.Energy.Burden"
"138",48275,"Knox","TX",0.12,0.06
"139",48277,"Lamar","TX",0.13,0.06
"140",48279,"Lamb","TX",0.09,0.04
"141",48281,"Lampasas","TX",0.09,0.05
"142",48283,"La Salle","TX",0.12,0.04
"143",48285,"Lavaca","TX",0.07,0.05
"144",48287,"Lee","TX",0.08,0.04
"145",48289,"Leon","TX",0.08,0.05
"146",48291,"Liberty","TX",0.07,0.03
"147",48293,"Limestone","TX",0.1,0.04
"148",48295,"Lipscomb","TX",0.05,0.03
"149",48297,"Live Oak","TX",0.07,0.05
"150",48299,"Llano","TX",0.06,0.03
"151",48301,"Loving","TX",0.16,0.03
"152",48303,"Lubbock","TX",0.08,0.04
"153",48305,"Lynn","TX",0.12,0.05
"154",48307,"McCulloch","TX",0.09,0.06
"155",48309,"McLennan","TX",0.09,0.04
"156",48311,"McMullen","TX",0.14,0.07
"157",48313,"Madison","TX",0.08,0.04
"158",48315,"Marion","TX",0.14,0.04
"159",48317,"Martin","TX",0.09,0.05
"160",48319,"Mason","TX",0.08,0.03
"161",48321,"Matagorda","TX",0.14,0.05
"162",48323,"Maverick","TX",0.14,0.04
"163",48325,"Medina","TX",0.07,0.04
"164",48327,"Menard","TX",0.08,0.04
"165",48329,"Midland","TX",0.03,0.03
"166",48331,"Milam","TX",0.1,0.05
"167",48333,"Mills","TX",0.1,0.04
"168",48335,"Mitchell","TX",0.06,0.06
"169",48337,"Montague","TX",0.09,0.05
"170",48339,"Montgomery","TX",0.06,0.04
"171",48341,"Moore","TX",0.1,0.08
"172",48343,"Morris","TX",0.15,0.06
"173",48345,"Motley","TX",0.1,0.04
"174",48347,"Nacogdoches","TX",0.14,0.05
"175",48349,"Navarro","TX",0.11,0.05
"176",48351,"Newton","TX",0.09,0.05
"177",48353,"Nolan","TX",0.1,0.04
"178",48355,"Nueces","TX",0.07,0.04
"179",48357,"Ochiltree","TX",0.07,0.03
"180",48359,"Oldham","TX",0.08,0.03
"181",48361,"Orange","TX",0.1,0.06
"182",48363,"Palo Pinto","TX",0.13,0.05
"183",48365,"Panola","TX",0.09,0.04
"184",48367,"Parker","TX",0.05,0.04
"185",48369,"Parmer","TX",0.08,0.05
"186",48371,"Pecos","TX",0.06,0.03
"187",48373,"Polk","TX",0.12,0.06
"188",48375,"Potter","TX",0.06,0.02
"189",48377,"Presidio","TX",0.1,0.04
"190",48379,"Rains","TX",0.09,0.05
"191",48381,"Randall","TX",0.05,0.04
"192",48383,"Reagan","TX",0.07,0.05
"193",48385,"Real","TX",0.09,0.05
"194",48387,"Red River","TX",0.14,0.04
"195",48389,"Reeves","TX",0.12,0.05
"196",48391,"Refugio","TX",0.09,0.06
"197",48393,"Roberts","TX",0.04,0.03
"198",48395,"Robertson","TX",0.11,0.05
"199",48397,"Rockwall","TX",0.07,0.07
"200",48399,"Runnels","TX",0.12,0.06
"201",48401,"Rusk","TX",0.08,0.04
"202",48403,"Sabine","TX",0.13,0.04
"203",48405,"San Augustine","TX",0.17,0.03
"204",48407,"San Jacinto","TX",0.11,0.04
"205",48409,"San Patricio","TX",0.07,0.04
"206",48411,"San Saba","TX",0.11,0.05
"207",48413,"Schleicher","TX",0.17,0.05
"208",48415,"Scurry","TX",0.05,0.05
"209",48417,"Shackelford","TX",0.1,0.04
"210",48419,"Shelby","TX",0.13,0.05
"211",48421,"Sherman","TX",0.05,0.05
"212",48423,"Smith","TX",0.08,0.04
"213",48425,"Somervell","TX",0.06,0.03
"214",48427,"Starr","TX",0.16,0.03
"215",48429,"Stephens","TX",0.09,0.05
"216",48431,"Sterling","TX",0.06,0.06
"217",48433,"Stonewall","TX",0.14,0.06
"218",48435,"Sutton","TX",0.07,0.05
"219",48437,"Swisher","TX",0.11,0.04
"220",48439,"Tarrant","TX",0.05,0.03
"221",48441,"Taylor","TX",0.1,0.05
"222",48443,"Terrell","TX",0.18,0.04
"223",48445,"Terry","TX",0.09,0.05
"224",48447,"Throckmorton","TX",0.1,0.05
"225",48449,"Titus","TX",0.09,0.06
"226",48451,"Tom Green","TX",0.05,0.03
"227",48453,"Travis","TX",0.04,0.02
"228",48455,"Trinity","TX",0.11,0.04
"229",48457,"Tyler","TX",0.16,0.07
"230",48459,"Upshur","TX",0.08,0.04
"231",48461,"Upton","TX",0.07,0.02
"232",48463,"Uvalde","TX",0.13,0.05
"233",48465,"Val Verde","TX",0.09,0.04
"234",48467,"Van Zandt","TX",0.11,0.05
"235",48469,"Victoria","TX",0.06,0.04
"236",48471,"Walker","TX",0.09,0.03
"237",48473,"Waller","TX",0.08,0.04
"238",48475,"Ward","TX",0.09,0.04
"239",48477,"Washington","TX",0.08,0.05
"240",48479,"Webb","TX",0.16,0.04
"241",48481,"Wharton","TX",0.11,0.05
"242",48483,"Wheeler","TX",0.05,0.04
"243",48485,"Wichita","TX",0.07,0.04
"244",48487,"Wilbarger","TX",0.09,0.04
"245",48489,"Willacy","TX",0.2,0.04
"246",48491,"Williamson","TX",0.03,0.03
"247",48493,"Wilson","TX",0.07,0.05
"248",48495,"Winkler","TX",0.1,0.05
"249",48497,"Wise","TX",0.07,0.05
"250",48499,"Wood","TX",0.12,0.06
"251",48501,"Yoakum","TX",0.07,0.04
"252",48503,"Young","TX",0.07,0.04
"253",48505,"Zapata","TX",0.2,0.04
"254",48507,"Zavala","TX",0.17,0.03
