FIPS,County,PCT_OBESE_ADULTS13,POVRATE15,PCT_LACCESS_POP15
48293,Limestone,33.9,19.1,19.05250491
48295,Lipscomb,27.2,9.7,99.9995537
48297,Live Oak,27.6,15.8,10.24399708
48299,Llano,27,14.8,31.04130138
48301,Loving,29,14.3,99.9999994
48303,Lubbock,27.7,20.1,15.71388003
48305,Lynn,28.4,20.5,33.86923005
48307,McCulloch,28.5,18.6,32.68550247
48309,McLennan,28.6,19.9,39.06464484
48311,McMullen,32.2,10,98.00022159
48313,Madison,28.8,19.2,27.8946327
48315,Marion,31.3,23.4,7.825022827
48317,Martin,27.1,11.4,21.42398762
48319,Mason,26.2,13.8,21.18437306
48321,Matagorda,31.9,20.5,37.78796161
48323,Maverick,29.4,23.9,32.24903264
48325,Medina,32.2,14.8,23.72044456
48327,Menard,27.3,20.8,20.18120536
48329,Midland,30.9,8.9,27.42115688
48331,Milam,29.7,16.9,21.88516666
48333,Mills,26.1,16.6,24.67764631
48335,Mitchell,26.6,19.7,29.78648983
48337,Montague,25.9,15.2,16.53229635
48339,Montgomery,24.5,10.1,20.68463575
48341,Moore,29.9,14.4,28.76251995
48343,Morris,30,19.5,1.672160991
48345,Motley,26.8,17,18.45374934
48347,Nacogdoches,32.2,24.5,29.12957958
48349,Navarro,28.4,19.6,24.73854787
48351,Newton,28,21.2,26.55629824
48353,Nolan,29,20,23.82197926
48355,Nueces,33.6,19.9,32.58506206
48357,Ochiltree,28.7,8.8,9.530323213
48359,Oldham,29.3,13.4,100.0000003
48361,Orange,29.5,16.1,25.40711441
48363,Palo Pinto,29.4,18.6,37.81762715
48365,Panola,30.7,15.1,22.14541661
48367,Parker,29,9.4,17.56199592
48369,Parmer,29.4,14.5,48.33651969
48371,Pecos,28.6,18.1,19.16877314
48373,Polk,29.4,17.2,20.17510249
48375,Potter,31,22.4,20.94449837
48377,Presidio,26.1,22.4,69.45389749
48379,Rains,29.7,14.4,
48381,Randall,26.6,8.5,12.25916336
48383,Reagan,27.7,8.8,6.366387954
48385,Real,27.6,19.4,99.99999958
48387,Red River,30.7,20.2,46.38197293
48389,Reeves,28.3,19.3,22.05041284
48391,Refugio,28.4,15.4,19.81038417
48393,Roberts,26.6,6.7,90.76309168
48395,Robertson,29.8,16.6,32.26260703
48397,Rockwall,25.3,6,20.21905787
48399,Runnels,26.8,18.5,27.41564257
48401,Rusk,30.8,16.6,25.70505283
48403,Sabine,27.8,19.7,15.88929898
48405,San Augustine,32.3,24.3,4.50249492
48407,San Jacinto,28.1,18.1,8.144462521
48409,San Patricio,33,15.5,20.97179282
48411,San Saba,27.4,18.9,30.5329736
48413,Schleicher,27.5,13.4,10.53183251
48415,Scurry,26.2,12.7,29.07575419
48417,Shackelford,28.3,13.1,14.38465464
48419,Shelby,31.2,19.8,13.9966767
48421,Sherman,27.5,12.8,24.74861788
48423,Smith,29.6,16,16.68057055
48425,Somervell,27.6,12.1,0
48427,Starr,29.6,30.9,44.95385477
48429,Stephens,27,18.2,22.78369367
48431,Sterling,27.4,11.6,100.0000004
48433,Stonewall,27,14.5,14.86655026
48435,Sutton,26.6,12.5,10.87039188
48437,Swisher,27.7,21.6,18.35950602
48439,Tarrant,29.1,13.1,25.63262158
48441,Taylor,30.8,14.8,28.00027507
48443,Terrell,26.8,16.7,99.99999981
48445,Terry,29.2,22.5,37.17749527
48447,Throckmorton,26.8,13.6,100.0000002
48449,Titus,30.9,20.1,11.84102426
48451,Tom Green,27.6,15.6,40.58947902
48453,Travis,20.3,13.2,26.18894895
48455,Trinity,27.4,19.5,3.040562687
48457,Tyler,31,19.9,53.58062009
48459,Upshur,29.6,15.5,11.84758936
48461,Upton,26.9,13.5,33.41282183
48463,Uvalde,30,20.7,43.4342543
48465,Val Verde,30,22.1,40.1241303
48467,Van Zandt,30.2,15.9,9.657455162
48469,Victoria,34.3,13.6,28.07669917
48471,Walker,29.7,22.7,33.64850574
48473,Waller,33.6,16,15.02890819
48475,Ward,28.5,12.8,10.73516396
48477,Washington,29.6,14.5,9.516921465
48479,Webb,31.3,30.5,22.474795
48481,Wharton,31.9,17.2,15.58246348
48483,Wheeler,27.8,12.9,11.46669442
48485,Wichita,31.1,18.9,36.98982944
