Id2,Geography,Estimate; SEX AND AGE - 65 years and over,Estimate; SEX AND AGE - Total population,percent_over65
48245,"Jefferson County, Texas",34839,254574,13.6852153
48247,"Jim Hogg County, Texas",979,5262,18.60509312
48249,"Jim Wells County, Texas",5908,41318,14.2988528
48251,"Johnson County, Texas",21591,160173,13.47979997
48253,"Jones County, Texas",2927,19969,14.65771947
48255,"Karnes County, Texas",2150,15051,14.28476513
48257,"Kaufman County, Texas",13514,114852,11.76644725
48259,"Kendall County, Texas",7479,40306,18.55555004
48261,"Kenedy County, Texas",83,564,14.71631206
48263,"Kent County, Texas",190,680,27.94117647
48265,"Kerr County, Texas",13540,50761,26.67402139
48267,"Kimble County, Texas",1332,4432,30.05415162
48269,"King County, Texas",21,289,7.266435986
48271,"Kinney County, Texas",639,3631,17.59845773
48273,"Kleberg County, Texas",4018,31540,12.73937857
48275,"Knox County, Texas",690,3753,18.38529177
48277,"Lamar County, Texas",9092,49401,18.40448574
48279,"Lamb County, Texas",2134,13368,15.96349491
48281,"Lampasas County, Texas",3631,20473,17.73555414
48283,"La Salle County, Texas",1161,7418,15.6511189
48285,"Lavaca County, Texas",4463,19859,22.47343774
48287,"Lee County, Texas",2914,16850,17.29376855
48289,"Leon County, Texas",3979,16966,23.45278793
48291,"Liberty County, Texas",10220,79884,12.79355065
48293,"Limestone County, Texas",4175,23480,17.78109029
48295,"Lipscomb County, Texas",521,3495,14.90701001
48297,"Live Oak County, Texas",2388,12043,19.82894628
48299,"Llano County, Texas",7162,20195,35.46422382
48301,"Loving County, Texas",18,74,24.32432432
48303,"Lubbock County, Texas",35225,298042,11.81880406
48305,"Lynn County, Texas",972,5785,16.80207433
48307,"McCulloch County, Texas",1736,8145,21.31368938
48309,"McLennan County, Texas",33503,245720,13.63462478
48311,"McMullen County, Texas",159,600,26.5
48313,"Madison County, Texas",2101,13979,15.02968739
48315,"Marion County, Texas",2487,10140,24.52662722
48317,"Martin County, Texas",673,5547,12.13268433
48319,"Mason County, Texas",1068,4122,25.90975255
48321,"Matagorda County, Texas",5766,36744,15.69235794
48323,"Maverick County, Texas",6426,57471,11.18129143
48325,"Medina County, Texas",7702,48548,15.86471121
48327,"Menard County, Texas",578,2123,27.22562412
48329,"Midland County, Texas",16386,159883,10.24874439
48331,"Milam County, Texas",4792,24479,19.57596307
48333,"Mills County, Texas",1344,4887,27.50153468
48335,"Mitchell County, Texas",1265,8774,14.41759745
48337,"Montague County, Texas",4288,19406,22.09625889
48339,"Montgomery County, Texas",65963,535187,12.32522464
48341,"Moore County, Texas",2161,22016,9.815588663
48343,"Morris County, Texas",2612,12530,20.84596967
48345,"Motley County, Texas",321,1114,28.81508079
48347,"Nacogdoches County, Texas",8628,65411,13.19044197
48349,"Navarro County, Texas",7922,48239,16.42239682
48351,"Newton County, Texas",2705,14187,19.06675125
48353,"Nolan County, Texas",2630,14990,17.54503002
48355,"Nueces County, Texas",47851,358484,13.34815501
48357,"Ochiltree County, Texas",1054,10484,10.05341473
48359,"Oldham County, Texas",287,2083,13.77820451
48361,"Orange County, Texas",12566,83909,14.97574754
48363,"Palo Pinto County, Texas",5260,28109,18.71286776
48365,"Panola County, Texas",4072,23574,17.27326716
48367,"Parker County, Texas",18674,125963,14.82498829
48369,"Parmer County, Texas",1294,9871,13.10910749
48371,"Pecos County, Texas",1979,15804,12.52214629
48373,"Polk County, Texas",8817,46974,18.76995785
48375,"Potter County, Texas",14090,121230,11.62253568
48377,"Presidio County, Texas",1573,7191,21.87456543
48379,"Rains County, Texas",2642,11246,23.49279744
48381,"Randall County, Texas",18129,130552,13.88642074
48383,"Reagan County, Texas",413,3735,11.05756359
48385,"Real County, Texas",1145,3358,34.09767719
48387,"Red River County, Texas",2874,12353,23.2656035
48389,"Reeves County, Texas",1896,14791,12.81860591
48391,"Refugio County, Texas",1536,7293,21.06129165
48393,"Roberts County, Texas",184,889,20.69741282
48395,"Robertson County, Texas",3028,16727,18.10246906
48397,"Rockwall County, Texas",10576,90414,11.69730351
48399,"Runnels County, Texas",2094,10266,20.3974284
48401,"Rusk County, Texas",8412,53026,15.86391581
48403,"Sabine County, Texas",3119,10429,29.90699012
48405,"San Augustine County, Texas",2057,8403,24.47935261
48407,"San Jacinto County, Texas",5582,27436,20.34553142
48409,"San Patricio County, Texas",9434,66867,14.10860365
48411,"San Saba County, Texas",1284,5851,21.94496667
48413,"Schleicher County, Texas",503,3122,16.11146701
48415,"Scurry County, Texas",2539,17346,14.63738038
48417,"Shackelford County, Texas",606,3348,18.10035842
48419,"Shelby County, Texas",4228,25689,16.45840632
48421,"Sherman County, Texas",429,3067,13.98761004
48423,"Smith County, Texas",34654,222277,15.59045695
48425,"Somervell County, Texas",1578,8650,18.24277457
48427,"Starr County, Texas",7023,63420,11.07379376
48429,"Stephens County, Texas",1779,9365,18.99626268
48431,"Sterling County, Texas",182,1139,15.97892888
48433,"Stonewall County, Texas",283,1084,26.10701107
48435,"Sutton County, Texas",655,3894,16.82074987
48437,"Swisher County, Texas",1330,7541,17.63691818
48439,"Tarrant County, Texas",208089,1983675,10.49007524
48441,"Taylor County, Texas",18871,135371,13.94020876
48443,"Terrell County, Texas",225,721,31.20665742
48445,"Terry County, Texas",1906,12755,14.94315955
48447,"Throckmorton County, Texas",406,1541,26.34652823
48449,"Titus County, Texas",4372,32664,13.3847661
48451,"Tom Green County, Texas",17079,116906,14.60917318
48453,"Travis County, Texas",104344,1176584,8.868385088
48455,"Trinity County, Texas",3786,14481,26.14460327
48457,"Tyler County, Texas",4526,21456,21.09433259
48459,"Upshur County, Texas",6966,40506,17.19745223
48461,"Upton County, Texas",482,3575,13.48251748
48463,"Uvalde County, Texas",4431,27015,16.40199889
48465,"Val Verde County, Texas",6810,48976,13.90476968
48467,"Van Zandt County, Texas",10677,53607,19.917175
48469,"Victoria County, Texas",13697,91518,14.96645469
48471,"Walker County, Texas",8473,70818,11.96447231
48473,"Waller County, Texas",5519,48443,11.39277089
48475,"Ward County, Texas",1614,11498,14.03722387
48477,"Washington County, Texas",7045,34667,20.32191998
48479,"Webb County, Texas",23659,269624,8.774812331
48481,"Wharton County, Texas",6603,41430,15.93772629
48483,"Wheeler County, Texas",1018,5599,18.18181818
48485,"Wichita County, Texas",18374,131778,13.94314681
48487,"Wilbarger County, Texas",2157,12972,16.62812211
48489,"Willacy County, Texas",2858,21839,13.08667979
48491,"Williamson County, Texas",56929,508313,11.19959552
48493,"Wilson County, Texas",6863,47205,14.53871412
48495,"Winkler County, Texas",873,7777,11.22540826
48497,"Wise County, Texas",9228,63247,14.59041536
48499,"Wood County, Texas",11631,43315,26.85212975
48501,"Yoakum County, Texas",944,8481,11.13076288
48503,"Young County, Texas",3583,18166,19.72365958
48505,"Zapata County, Texas",1832,14415,12.7089837
48507,"Zavala County, Texas",1614,12152,13.28176432
