Id,Id2,Geography,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone
0500000US48217,48217,"Hill County, Texas",20,6.3
0500000US48219,48219,"Hockley County, Texas",46.9,3.6
0500000US48221,48221,"Hood County, Texas",12,0.7
0500000US48223,48223,"Hopkins County, Texas",16.3,6.7
0500000US48225,48225,"Houston County, Texas",10.7,24.9
0500000US48227,48227,"Howard County, Texas",41.2,5.2
0500000US48229,48229,"Hudspeth County, Texas",78.4,1.5
0500000US48231,48231,"Hunt County, Texas",15.3,7.8
0500000US48233,48233,"Hutchinson County, Texas",22.5,2
0500000US48235,48235,"Irion County, Texas",22.9,3.2
0500000US48237,48237,"Jack County, Texas",16.3,4.5
0500000US48239,48239,"Jackson County, Texas",32.3,7.1
0500000US48241,48241,"Jasper County, Texas",6.5,16.7
0500000US48243,48243,"Jeff Davis County, Texas",36.2,0.7
0500000US48245,48245,"Jefferson County, Texas",19.5,33.7
0500000US48247,48247,"Jim Hogg County, Texas",93.8,0
0500000US48249,48249,"Jim Wells County, Texas",80.2,0.5
0500000US48251,48251,"Johnson County, Texas",20.3,2.8
0500000US48253,48253,"Jones County, Texas",27.2,14.5
0500000US48255,48255,"Karnes County, Texas",52.9,8.7
0500000US48257,48257,"Kaufman County, Texas",19.9,10.4
0500000US48259,48259,"Kendall County, Texas",23,0.7
0500000US48261,48261,"Kenedy County, Texas",88.5,0
0500000US48263,48263,"Kent County, Texas",21.6,0.7
0500000US48265,48265,"Kerr County, Texas",26.1,1.4
0500000US48267,48267,"Kimble County, Texas",23.7,0
0500000US48269,48269,"King County, Texas",26.6,0
0500000US48271,48271,"Kinney County, Texas",61.8,0.1
0500000US48273,48273,"Kleberg County, Texas",72.3,3.5
0500000US48275,48275,"Knox County, Texas",33.4,6
0500000US48277,48277,"Lamar County, Texas",7.5,12.3
0500000US48279,48279,"Lamb County, Texas",55,3.6
0500000US48281,48281,"Lampasas County, Texas",19.2,3
0500000US48283,48283,"La Salle County, Texas",79.9,1.2
0500000US48285,48285,"Lavaca County, Texas",18.1,6.6
0500000US48287,48287,"Lee County, Texas",23.2,11
0500000US48289,48289,"Leon County, Texas",14.2,7.2
0500000US48291,48291,"Liberty County, Texas",21.9,10
0500000US48293,48293,"Limestone County, Texas",21.3,17.6
0500000US48295,48295,"Lipscomb County, Texas",29.9,0.4
0500000US48297,48297,"Live Oak County, Texas",38.8,2.4
0500000US48299,48299,"Llano County, Texas",9.8,0.7
0500000US48301,48301,"Loving County, Texas",16.2,0
0500000US48303,48303,"Lubbock County, Texas",34.5,6.9
0500000US48305,48305,"Lynn County, Texas",47.2,1.3
0500000US48307,48307,"McCulloch County, Texas",31.6,2
0500000US48309,48309,"McLennan County, Texas",25.6,14.2
0500000US48311,48311,"McMullen County, Texas",50.5,0
0500000US48313,48313,"Madison County, Texas",22.4,17.4
0500000US48315,48315,"Marion County, Texas",3.9,23.7
0500000US48317,48317,"Martin County, Texas",45.1,0.6
0500000US48319,48319,"Mason County, Texas",24.3,0
0500000US48321,48321,"Matagorda County, Texas",41.4,10.2
0500000US48323,48323,"Maverick County, Texas",95.3,0.2
0500000US48325,48325,"Medina County, Texas",51.3,2.3
