"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2017","48","48023","Baylor County (TX)","3,500","620","484","756","484 to 756","17.7","13.8","21.6","13.8 to 21.6","783","216","159","273","159 to 273","27.6","20.4","34.8","20.4 to 34.8","571","150","108","192","108 to 192","26.3","18.9","33.7","18.9 to 33.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,013","$33,158","$40,868","$33,158 to $40,868"
"2017","48","48025","Bee County (TX)","24,814","6,597","5,235","7,959","5,235 to 7,959","26.6","21.1","32.1","21.1 to 32.1","6,803","2,290","1,801","2,779","1,801 to 2,779","33.7","26.5","40.9","26.5 to 40.9","4,849","1,512","1,133","1,891","1,133 to 1,891","31.2","23.4","39.0","23.4 to 39.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$41,392","$37,476","$45,308","$37,476 to $45,308"
"2017","48","48027","Bell County (TX)","337,950","46,542","40,487","52,597","40,487 to 52,597","13.8","12.0","15.6","12.0 to 15.6","95,558","19,614","16,309","22,919","16,309 to 22,919","20.5","17.0","24.0","17.0 to 24.0","65,793","12,543","10,131","14,955","10,131 to 14,955","19.1","15.4","22.8","15.4 to 22.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,164","$49,151","$55,177","$49,151 to $55,177"
"2017","48","48029","Bexar County (TX)","1,914,735","299,023","282,158","315,888","282,158 to 315,888","15.6","14.7","16.5","14.7 to 16.5","498,935","110,667","101,500","119,834","101,500 to 119,834","22.2","20.4","24.0","20.4 to 24.0","358,784","74,572","67,315","81,829","67,315 to 81,829","20.8","18.8","22.8","18.8 to 22.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,163","$52,899","$55,427","$52,899 to $55,427"
"2017","48","48031","Blanco County (TX)","11,510","1,224","966","1,482","966 to 1,482","10.6","8.4","12.8","8.4 to 12.8","2,162","370","278","462","278 to 462","17.1","12.9","21.3","12.9 to 21.3","1,650","253","181","325","181 to 325","15.3","11.0","19.6","11.0 to 19.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$62,115","$56,483","$67,747","$56,483 to $67,747"
"2017","48","48033","Borden County (TX)","673","74","56","92","56 to 92","11.0","8.3","13.7","8.3 to 13.7","146","23","17","29","17 to 29","15.8","11.7","19.9","11.7 to 19.9","106","18","13","23","13 to 23","17.0","12.2","21.8","12.2 to 21.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$59,039","$52,553","$65,525","$52,553 to $65,525"
"2017","48","48035","Bosque County (TX)","17,958","2,866","2,356","3,376","2,356 to 3,376","16.0","13.2","18.8","13.2 to 18.8","3,881","1,016","817","1,215","817 to 1,215","26.2","21.1","31.3","21.1 to 31.3","2,870","683","532","834","532 to 834","23.8","18.5","29.1","18.5 to 29.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,139","$44,582","$53,696","$44,582 to $53,696"
"2017","48","48037","Bowie County (TX)","87,613","13,959","11,135","16,783","11,135 to 16,783","15.9","12.7","19.1","12.7 to 19.1","21,966","5,048","3,800","6,296","3,800 to 6,296","23.0","17.3","28.7","17.3 to 28.7","15,961","3,679","2,745","4,613","2,745 to 4,613","23.0","17.1","28.9","17.1 to 28.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,153","$46,133","$52,173","$46,133 to $52,173"
"2017","48","48039","Brazoria County (TX)","351,537","31,735","26,261","37,209","26,261 to 37,209","9.0","7.4","10.6","7.4 to 10.6","95,549","11,373","8,904","13,842","8,904 to 13,842","11.9","9.3","14.5","9.3 to 14.5","69,899","8,325","6,522","10,128","6,522 to 10,128","11.9","9.3","14.5","9.3 to 14.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$80,840","$77,162","$84,518","$77,162 to $84,518"
"2017","48","48041","Brazos County (TX)","208,529","49,752","46,015","53,489","46,015 to 53,489","23.9","22.1","25.7","22.1 to 25.7","45,622","9,339","7,659","11,019","7,659 to 11,019","20.5","16.8","24.2","16.8 to 24.2","31,719","6,204","4,958","7,450","4,958 to 7,450","19.6","15.7","23.5","15.7 to 23.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,083","$43,115","$49,051","$43,115 to $49,051"
