CountyID,CountyNames,AllAgesPovertyPercent,Median Household Income in Dollars
48339,Montgomery County (TX),8.9,77149
48341,Moore County (TX),11.7,51444
48343,Morris County (TX),18.4,39627
48345,Motley County (TX),17.7,36782
48347,Nacogdoches County (TX),23.9,42367
48349,Navarro County (TX),16.9,41944
48351,Newton County (TX),20.8,41736
48353,Nolan County (TX),19.3,42662
48355,Nueces County (TX),16.1,51910
48357,Ochiltree County (TX),12.3,58962
48359,Oldham County (TX),12.8,55451
48361,Orange County (TX),13.7,57257
48363,Palo Pinto County (TX),16.8,45869
48365,Panola County (TX),15,48971
48367,Parker County (TX),8,74076
48369,Parmer County (TX),13.3,48189
48371,Pecos County (TX),20.6,44352
48373,Polk County (TX),18,44596
48375,Potter County (TX),18.5,43778
48377,Presidio County (TX),23.4,29761
48379,Rains County (TX),17,43403
48381,Randall County (TX),8.8,63077
48383,Reagan County (TX),11.4,58168
48385,Real County (TX),18.2,36146
48387,Red River County (TX),19.5,35643
48389,Reeves County (TX),25.1,40694
48391,Refugio County (TX),16.9,42898
48393,Roberts County (TX),7,67688
48395,Robertson County (TX),17.4,44355
48397,Rockwall County (TX),5.3,98442
48399,Runnels County (TX),17.3,41830
48401,Rusk County (TX),15.2,49872
48403,Sabine County (TX),20.2,37770
48405,San Augustine County (TX),21.6,39133
48407,San Jacinto County (TX),18.2,44707
48409,San Patricio County (TX),19,50752
48411,San Saba County (TX),17.1,43112
48413,Schleicher County (TX),16.2,45821
48415,Scurry County (TX),17.2,51772
48417,Shackelford County (TX),14.2,61155
48419,Shelby County (TX),20.8,39745
48421,Sherman County (TX),12.5,49349
48423,Smith County (TX),15.6,54044
48425,Somervell County (TX),10.4,62803
48427,Starr County (TX),32,28377
48429,Stephens County (TX),19.5,41977
48431,Sterling County (TX),12.2,55690
48433,Stonewall County (TX),15.3,43702
48435,Sutton County (TX),14.3,57986
48437,Swisher County (TX),19.9,41264
48439,Tarrant County (TX),11.6,65021
48441,Taylor County (TX),15.2,50338
48443,Terrell County (TX),19.3,39033
48445,Terry County (TX),21.5,40899
48447,Throckmorton County (TX),15.4,38162
48449,Titus County (TX),16.3,47097
48451,Tom Green County (TX),13.5,49462
48453,Travis County (TX),11.5,72785
48455,Trinity County (TX),21,34741
48457,Tyler County (TX),19.6,43394
48459,Upshur County (TX),16.4,47517
48461,Upton County (TX),14,56448
48463,Uvalde County (TX),20.5,39610
48465,Val Verde County (TX),21.4,41441
48467,Van Zandt County (TX),13.1,50308
48469,Victoria County (TX),15.7,52161
48471,Walker County (TX),23.1,42304
48473,Waller County (TX),15.5,55224
48475,Ward County (TX),15.1,53242
48477,Washington County (TX),12.9,51276
48479,Webb County (TX),27.3,41979
48481,Wharton County (TX),16,46194
48483,Wheeler County (TX),14.5,45356
48485,Wichita County (TX),16.8,44593
48487,Wilbarger County (TX),16.4,40353
48489,Willacy County (TX),35,30392
48491,Williamson County (TX),6.1,82131
48493,Wilson County (TX),9.1,70829
48495,Winkler County (TX),14.7,51965
48497,Wise County (TX),11.1,60675
48499,Wood County (TX),15.2,49739
48501,Yoakum County (TX),12,58363
48503,Young County (TX),15.8,44909
48505,Zapata County (TX),30,32172
48507,Zavala County (TX),31.6,28867
