,,,,,Uninsured Adults,Median Income,,,,,,,,Adult Obesity
FIPS,State,County,% Food Insecure,% Limited Access,% Uninsured,Household Income,% Homeowners,% 65 and over,% African American,% Hispanic,% Rural,% Unemployed,Food Environment Index,% Obese
48091,Texas,Comal,12,6,16,72562,75,18.1,2.1,27.5,46.1,3.4,8.0,28
48093,Texas,Comanche,16,8,29,46161,78,24.0,0.5,28.0,71.5,3.7,7.2,29
48095,Texas,Concho,8,11,21,42723,71,25.4,1.1,36.6,100.0,4.2,8.4,31
48097,Texas,Cooke,16,2,23,57382,69,18.3,3.1,18.2,59.0,3.6,7.6,29
48099,Texas,Coryell,19,17,17,51486,58,10.0,16.2,18.3,19.4,4.3,5.7,34
48101,Texas,Cottle,20,46,30,36201,65,24.7,9.1,24.4,100.0,4.3,3.0,28
48103,Texas,Crane,9,3,23,56356,78,11.9,2.7,63.3,10.7,5.3,8.8,31
48105,Texas,Crockett,11,3,24,44991,73,17.1,0.6,65.7,22.7,4.1,8.5,28
48107,Texas,Crosby,12,2,27,36942,69,18.1,3.0,56.3,100.0,4.1,8.4,29
48109,Texas,Culberson,8,5,30,37825,67,20.3,0.9,73.1,100.0,3.6,8.8,30
48111,Texas,Dallam,13,18,31,47838,60,11.2,1.5,46.6,23.5,2.1,6.8,32
48113,Texas,Dallas,18,7,26,56732,50,10.5,22.5,40.2,0.7,3.8,6.9,29
48115,Texas,Dawson,11,14,27,42127,71,14.9,5.3,57.4,16.3,4.9,7.5,30
48117,Texas,Deaf Smith,7,9,30,42698,65,12.4,0.9,73.1,17.7,3.1,8.6,29
48119,Texas,Delta,20,3,21,41644,77,20.5,6.2,7.6,100.0,3.3,6.8,32
48121,Texas,Denton,15,4,14,86462,65,9.8,9.8,19.4,6.9,3.3,7.6,24
48123,Texas,DeWitt,15,8,20,47657,75,19.5,8.6,35.3,49.6,4.4,7.3,29
48125,Texas,Dickens,16,6,27,38702,72,22.5,4.8,29.6,100.0,4.7,7.3,28
48127,Texas,Dimmit,8,18,24,35696,70,16.1,1.1,87.5,39.5,5.1,7.7,29
48129,Texas,Donley,18,6,25,41867,74,24.1,5.0,11.2,100.0,3.6,7.0,28
48131,Texas,Duval,10,20,24,33495,67,17.8,1.0,89.6,67.0,7.7,7.1,27
48133,Texas,Eastland,18,10,24,39620,75,21.8,1.8,16.6,60.3,4.3,6.6,31
48135,Texas,Ector,10,6,25,54422,66,9.9,4.3,60.6,9.5,4.1,8.3,33
48137,Texas,Edwards,7,10,28,35164,87,27.2,0.4,55.1,100.0,3.2,8.7,30
48139,Texas,Ellis,14,6,20,71512,73,12.6,10.3,26.3,32.0,3.4,7.6,35
48141,Texas,El Paso,9,10,27,44120,62,12.0,3.0,82.8,2.2,4.6,8.3,30
48143,Texas,Erath,19,16,25,48230,64,14.0,1.7,21.4,46.3,3.4,5.8,27
48145,Texas,Falls,21,7,23,35988,73,17.7,23.3,23.3,67.4,4.2,6.4,32
48147,Texas,Fannin,18,13,25,50598,75,18.7,6.5,11.0,70.5,3.3,6.3,31
48149,Texas,Fayette,14,8,22,56320,81,24.8,6.0,21.3,67.1,3.2,7.5,27
48151,Texas,Fisher,15,3,20,47292,72,24.1,3.4,28.4,100.0,3.5,7.7,28
48153,Texas,Floyd,12,2,28,41390,73,18.5,3.2,59.0,53.3,5.5,8.4,29
48155,Texas,Foard,13,46,27,35007,80,26.8,4.7,17.8,100.0,3.4,4.1,29
48157,Texas,Fort Bend,15,7,15,91661,78,10.6,20.2,24.5,5.5,4.6,7.4,29
48159,Texas,Franklin,18,2,20,44358,75,21.3,3.7,14.5,69.1,4.6,7.2,31
48161,Texas,Freestone,20,6,24,47616,75,19.6,15.6,15.4,66.5,6.3,6.6,30
48163,Texas,Frio,8,5,25,37853,70,12.1,3.0,79.2,22.2,3.8,8.8,28
48165,Texas,Gaines,10,1,37,52138,76,8.6,1.6,41.9,63.0,3.0,8.7,31
48167,Texas,Galveston,17,8,19,69674,66,13.8,12.7,24.6,6.1,5.2,6.9,32
48169,Texas,Garza,10,2,27,46587,65,11.2,6.3,52.0,22.3,3.3,8.8,28
48171,Texas,Gillespie,13,6,26,58412,76,29.2,0.4,23.5,53.7,2.6,7.9,27
48173,Texas,Glasscock,10,23,22,78088,72,15.5,1.6,37.2,100.0,2.6,6.9,28
48175,Texas,Goliad,14,10,16,52403,82,22.0,4.0,36.4,100.0,4.9,7.4,31
48177,Texas,Gonzales,12,11,31,45052,69,16.3,6.0,51.0,65.3,3.5,7.5,29
48179,Texas,Gray,16,7,27,46599,75,15.9,4.8,28.9,19.4,5.3,7.2,32
48181,Texas,Grayson,18,8,23,54431,67,17.5,5.9,13.4,43.2,3.5,6.8,31
48183,Texas,Gregg,21,10,24,47208,59,15.2,20.2,19.0,13.4,5.1,5.9,31
48185,Texas,Grimes,19,16,25,48023,78,16.8,15.3,24.4,68.9,5.3,5.8,31
48187,Texas,Guadalupe,12,10,18,66886,75,13.3,7.5,38.0,26.2,3.3,7.7,32
48189,Texas,Hale,13,9,29,43570,60,13.1,4.8,59.4,23.1,5.1,7.6,31
48191,Texas,Hall,21,12,36,32980,63,23.7,8.0,34.1,100.0,6.2,5.9,29
48193,Texas,Hamilton,17,7,26,44230,76,25.1,0.6,12.5,64.4,3.9,6.9,28
48195,Texas,Hansford,12,35,30,55761,73,14.9,0.7,47.4,40.3,2.5,5.4,30
48197,Texas,Hardeman,16,13,28,39022,75,21.5,5.1,23.3,100.0,3.9,6.6,30
48199,Texas,Hardin,18,10,18,58829,81,16.2,5.5,5.7,51.5,6.1,6.6,30
48201,Texas,Harris,17,6,25,58664,55,10.2,18.6,43.0,1.2,5.0,7.2,27
48203,Texas,Harrison,21,4,21,50584,74,16.5,20.7,13.5,56.1,5.2,6.5,35
48205,Texas,Hartley,13,9,23,69000,61,14.7,6.5,26.8,57.3,2.0,7.5,29
48207,Texas,Haskell,16,11,26,35075,78,22.2,3.8,29.2,47.6,4.7,6.8,28
48209,Texas,Hays,13,6,18,66525,62,10.6,3.7,39.0,31.7,3.1,7.7,28
48211,Texas,Hemphill,12,2,23,64338,68,14.3,0.3,33.2,27.0,2.5,8.4,28
48213,Texas,Henderson,19,12,25,44500,75,21.9,6.2,12.9,60.1,4.2,6.2,33
48215,Texas,Hidalgo,10,21,41,36978,67,10.8,0.4,92.2,5.1,7.4,7.0,30
48217,Texas,Hill,18,2,27,47162,74,20.6,6.5,20.8,76.3,3.9,7.3,29
48219,Texas,Hockley,12,17,24,48449,69,14.3,3.6,48.1,39.8,3.7,6.9,31
48221,Texas,Hood,16,10,20,64687,76,24.5,0.8,12.7,32.8,4.2,7.0,28
48223,Texas,Hopkins,18,7,25,44925,69,18.0,7.1,16.9,59.6,3.6,6.8,31
48225,Texas,Houston,23,23,23,37723,69,21.6,25.1,11.0,73.5,4.2,4.4,28
48227,Texas,Howard,14,16,20,46899,68,12.9,6.2,42.4,20.1,4.3,6.8,37
48229,Texas,Hudspeth,12,67,37,39683,75,15.7,2.0,77.8,100.0,6.0,2.4,30
48231,Texas,Hunt,19,5,23,53421,70,15.8,7.9,16.4,56.6,3.9,6.9,32
48233,Texas,Hutchinson,16,10,23,53465,80,16.2,2.5,23.4,22.6,6.0,6.9,31
48235,Texas,Irion,13,27,15,63827,79,21.6,1.1,26.3,100.0,3.0,5.9,29
48237,Texas,Jack,17,18,24,47824,82,16.8,3.9,16.9,53.2,3.7,6.0,29
